customer_id,scoop_count,flavor_ids,order_line,paper,satisfied_line,unsatisfied_time,unsatisfied_container,unsatisfied_flavor
CUST-001,1,FLV-018,그냥 바닐라 하나 주세요.,바닐라 하나,역시 바닐라가 최고죠. 감사합니다!,너무 오래 걸리네요. 다 녹았잖아요.,이거 제가 말한 용기가 아닌 것 같은데요?,음... 이거 바닐라 맞아요?
CUST-002,2,FLV-001|FLV-010,민트초코칩이랑 쿠키앤크림 니코요.,"""니코, 민초, 쿠앤크""","우와, 딱 제가 원하던 맛이에요!",기다리다 지쳤어요. 다 녹아버렸는데요?,니코 시켰는데 크기가 다른데요?,제가 시킨 거랑 다른 것 같은데요?
CUST-003,1,FLV-002,"야, 초코맛 하나 컵에 담아줘. 빨리!","""초코 하나""","오, 좀 하네.",뭐가 이렇게 느려? 다 녹았잖아.,용기부터 틀렸잖아. 다시.,별로네.
CUST-004,2,FLV-007|FLV-007,아 무슨 딸기 뭐였는데? 아무튼 니코에 두 스쿱 담아 주세요.,"""니코, 베리베리만""",제 맘을 아는군요!,아 늦었어요. 녹아서 다 흘러내리잖아요.,니코 시켰는데 이 크기 아닌데요?,이건 제가 말한 딸기가 아닌데요...
CUST-005,3,FLV-006|FLV-008|FLV-017,"음… 산코에 체리쥬빌레랑, 레인보우 셔벗, 아 트윈베리도요.","""산코, 체리쥬빌레, 레인보우, 트윈베리""",고민한 보람이 있네요!,고민해서 시켰는데 이렇게 녹여 오시면…,산코라고 했는데… 용기가 다르네요?,이게 제가 말한 맛들 맞나요?
CUST-006,1,FLV-008,"레인보우 셔벗! 하나! 빨리요, 시간 없어요!",레인보우 하나,"빠르고 좋네요, 최고!",시간 없다니까요! 이렇게 느리면 어떡해요!,"아 용기가 이게 아니잖아요, 시간 없는데!","아 진짜 이거 아닌데, 시간 없다니까요!"
CUST-007,6,FLV-001|FLV-001|FLV-001|FLV-001|FLV-001|FLV-001,록코에 민트초코칩 6개. 딱히… 민트초코를 좋아해서 그런거 아니니까.,"""록코, 민초만""",고마워…,늦었잖아. 딱히 기다린 건 아니지만… 다 녹았어.,록코라고 했잖아… 크기가 왜 이래.,역시 기대한 내가 바보였어.
CUST-008,4,FLV-009|FLV-013|FLV-015|FLV-016,"욘코요. 초콜릿 무스, 자모카, 피스타치오, 프랄린 크림!","""욘코, 무스, 자모카, 피스타, 프랄린""",역시 많이 담아야 제맛! 감사합니다.,배고파 죽겠는데 왜 이리 늦어요. 다 녹았네.,욘코 시켰는데 이렇게 작은 걸로요? 부족해요.,이걸로는 간에 기별도 안 가요...
CUST-009,3,FLV-005|FLV-018|FLV-010,"산코에 뉴욕 치즈케이크, 바닐라, 쿠키앤크림 정확히 담아주세요.","""산코, 뉴치케, 바닐라, 쿠앤크""",정확하네요. 인정합니다.,시간 관리가 이게 뭡니까. 다 녹았잖아요.,용기부터 틀렸네요. 산코라고 했잖아요.,이거 제가 시킨 맛이 아닌데요. 다시요.
CUST-010,6,FLV-020|FLV-020|FLV-020|FLV-003|FLV-003|FLV-003,록코에 슈팅스타랑 요거트만 넣어주세요.,"""록코, 슈스, 요거트만""",이걸 먹으면 행복해져요.,이 몸을 이리 기다리게 하다니. 다 녹지 않았나.,감히 록코가 아닌 걸 내오다니.,실망이네요.
CUST-011,1,FLV-003,저도 언젠간 저 하늘의 별이 될 수 있을까요?,슈팅스타 하나,빛이 나요.,별이 지도록 기다렸는데… 다 녹아버렸네요.,제가 담길 그릇은 이게 아니었나 봐요…,저는 빛 날 수 없는 존재인가봐요.
CUST-012,1,FLV-014,마음이 소란할 땐 초록이 좋더군요. 잇코에 녹차를… 조용히.,"""잇코, 녹차""",숨이… 트이네요. 고맙습니다.,기다림이 길어 마음이 다시 소란해졌어요…,이 그릇은… 제가 청한 게 아니에요.,제가 찾던 고요함이 아니에요…
CUST-013,2,FLV-018|FLV-002,"운명은 흑과 백! 니코에 바닐라와 초코, 그 두 세계를 담아주오!","""니코, 바닐라, 초코""",브라보! 완벽한 무대였소!,관객을 이리 기다리게 하다니! 막이 다 식었소!,무대의 크기가 틀렸소! 이 그릇이 아니오!,이건… 비극이오. 막을 내리시오.
CUST-014,3,FLV-007|FLV-006|FLV-017,"산코에 딸기, 체리쥬빌레, 트윈베리 담아주세요.","""산코, 딸기, 체리, 트윈""","과일이 가득이네요, 좋아요!",너무 늦었어요. 과일이 다 물러버렸잖아요.,산코라고 했는데 용기가 다르잖아요.,새콤한 게 하나도 없잖아요.
CUST-015,1,FLV-020,삐빅- 주문 접수. 잇코에 요거트 1개. 신속 처리를 요청합니다.,"""잇코, 요거트""","처리 완료. 만족도 100퍼센트. …고맙습니다, 인간님.",경고. 처리 시간 초과. 제품 용해 감지.,오류. 용기 규격 불일치.,오류. 주문 불일치 감지.
CUST-016,4,FLV-001|FLV-010|FLV-009|FLV-013,"실험을 시작하지. 욘코에 민트초코칩, 쿠키앤크림, 초콜릿 무스, 자모카… 반응을 관찰하겠어.","""욘코, 민초, 쿠앤크, 무스, 자모카""",가설이 옳았군. 완벽한 배합이야.,반응 시간 초과. 실험체가 녹아버렸군.,용기 규격이 틀렸군. 실험 조건 불일치야.,실패한 실험이군. 데이터는 폐기다.
CUST-017,2,FLV-004|FLV-015,단서는 고소함에 있지. 니코에 아몬드봉봉과 피스타치오… 사건은 그렇게 시작됐어.,"""니코, 아봉, 피스타""",사건 종결. 완벽한 결말이군.,시간이 범인이군. 단서가 다 녹아버렸어.,용기가 바뀌었군. 이건 내 사건의 그릇이 아니야.,함정이었나. 이건 내가 쫓던 맛이 아니야.
CUST-018,5,FLV-005|FLV-018|FLV-010|FLV-016|FLV-012,"음… 고코에 뉴욕 치즈케이크, 바닐라, 쿠키앤크림, 프랄린 크림, 솜사탕이요.","""고코, 뉴치케, 바닐라, 쿠앤크, 프랄린, 솜사탕""",고민한 보람이 있네요!,너무 오래 걸렸네요. 다 녹아버렸어요…,어… 제가 이 용기로 시켰던가요?,제가 이렇게 시켰던가요…?
