customer_id,scoop_count,flavor_ids,order_line,paper,satisfied_line,unsatisfied_line
CUST-001,1,FLV-018,그냥 바닐라 하나 주세요.,바닐라 하나,역시 바닐라가 최고죠. 감사합니다!,음… 뭔가 아쉽네요.
CUST-002,2,FLV-001|FLV-010,민트초코칩이랑 쿠키앤크림 니코요.,"""니코, 민초, 쿠앤크""","우와, 딱 제가 원하던 맛이에요!",어… 제가 기대한 건 아닌데요?
CUST-003,1,FLV-002,"야, 초코맛 하나 컵에 담아줘. 빨리!","""초코 하나""","오, 좀 하네.",별로네.
CUST-004,2,FLV-007|FLV-007,아 무슨 딸기 뭐였는데? 아무튼 니코에 두 스쿱 담아 주세요.,"""니코, 베리베리만""",제 맘을 아는군요!,음? 이거 아닌 것 같은데요.
CUST-005,3,FLV-006|FLV-008|FLV-017,"음… 산코에 체리쥬빌레랑, 레인보우 셔벗, 아 트윈베리도요.","""산코, 체리쥬빌레, 레인보우, 트윈베리""",고민한 보람이 있네요!,고민해서 시켰는데… 좀 아쉬워요.
CUST-006,1,FLV-008,"레인보우 셔벗! 하나! 빨리요, 시간 없어요!",레인보우 하나,"빠르고 좋네요, 최고!","아, 이거 아닌데. 참…"
CUST-007,6,FLV-001|FLV-001|FLV-001|FLV-001|FLV-001|FLV-001,록코에 민트초코칩 6개. 딱히… 민트초코를 좋아해서 그런거 아니니까.,"""록코, 민초만""",고마워…,역시 기대한 내가 바보였어.
CUST-008,4,FLV-009|FLV-013|FLV-015|FLV-016,"욘코요. 초콜릿 무스, 자모카, 피스타치오, 프랄린 크림!","""욘코, 무스, 자모카, 피스타, 프랄린""",역시 많이 담아야 제맛! 감사합니다.,음… 뭔가 부족한데요.
CUST-009,3,FLV-005|FLV-018|FLV-010,"산코에 뉴욕 치즈케이크, 바닐라, 쿠키앤크림 정확히 담아주세요.","""산코, 뉴치케, 바닐라, 쿠앤크""",정확하네요. 인정합니다.,이건 좀 아니네요. 인정 못 하겠어요.
CUST-010,6,FLV-020|FLV-020|FLV-020|FLV-003|FLV-003|FLV-003,록코에 슈팅스타랑 요거트만 넣어주세요.,"""록코, 슈스, 요거트만""",이걸 먹으면 행복해져요.,실망이네요.
CUST-011,1,FLV-003,저도 언젠간 저 하늘의 별이 될 수 있을까요?,슈팅스타 하나,빛이 나요.,제가 바란 건 이런 게 아니었나 봐요…
CUST-012,1,FLV-014,마음이 소란할 땐 초록이 좋더군요. 잇코에 녹차를… 조용히.,"""잇코, 녹차""",숨이… 트이네요. 고맙습니다.,제가 찾던 게 아니에요…
CUST-013,2,FLV-018|FLV-002,"운명은 흑과 백! 니코에 바닐라와 초코, 그 두 세계를 담아주오!","""니코, 바닐라, 초코""",브라보! 완벽한 무대였소!,이건… 비극이오. 막을 내리시오.
CUST-014,3,FLV-007|FLV-006|FLV-017,"산코에 딸기, 체리쥬빌레, 트윈베리 담아주세요.","""산코, 딸기, 체리, 트윈""","과일이 가득이네요, 좋아요!","음, 좀 아쉬운데요."
CUST-015,1,FLV-020,삐빅- 주문 접수. 잇코에 요거트 1개. 신속 처리를 요청합니다.,"""잇코, 요거트""","처리 완료. 만족도 100퍼센트. …고맙습니다, 인간님.",오류. 만족도 미달.
CUST-016,4,FLV-001|FLV-010|FLV-009|FLV-013,"실험을 시작하지. 욘코에 민트초코칩, 쿠키앤크림, 초콜릿 무스, 자모카… 반응을 관찰하겠어.","""욘코, 민초, 쿠앤크, 무스, 자모카""",가설이 옳았군. 완벽한 배합이야.,실패한 실험이군. 데이터는 폐기다.
