customer_id,customer_name,day,scoop_count,container,flavor_ids,order_line,satisfied_line,unhappy_line
CUST-001,준호,1,1,Cone,FLV-018,"""그냥 바닐라 하나, 콘으로 주세요.""",역시 바닐라가 최고죠. 감사합니다!,음... 이거 바닐라 맞아요?
CUST-002,하니,1,2,Cup,FLV-001|FLV-010,"""민트초코칩이랑 쿠키앤크림, 컵에 담아주세요.""","우와, 딱 제가 원하던 맛이에요!",제가 시킨 거랑 다른 것 같은데요?
CUST-003,태식,1,1,Cup,FLV-002,"""야, 초코맛 하나 컵에 담아줘. 빨리.""","오, 좀 하네.","이거 뭐야, 다시 해와."
CUST-004,미나,2,2,Cone,FLV-007|FLV-007,"""딸기 안 들어간 딸기맛 있죠? 그걸로 두 스쿱, 콘이요.""",제 맘을 아는군요!,이건 제가 말한 딸기가 아닌데요...
CUST-005,소연,2,3,Special,FLV-006|FLV-008|FLV-017,"""음... 체리쥬빌레랑, 레인보우 셔벗이랑, 아 트윈베리도요. 전용 용기에.""",고민한 보람이 있네요!,이게 제가 말한 순서가 맞나요?
CUST-006,강토,2,1,Cone,FLV-008,"""레인보우 셔벗! 콘! 빨리요, 시간 없어요!""","빠르고 좋네요, 최고!","아 진짜 이거 아닌데, 시간 없다니까요!"
CUST-007,유리,3,2,Cup,FLV-011|FLV-012,"""별로 안 좋아하지만... 러브포션이랑 솜사탕, 컵으로. 딱히 먹고 싶어서 그런 거 아니야.""","머, 먹을 만하네. 딱히 맛있진 않아.",역시 기대한 내가 바보였어.
CUST-008,봉수,3,4,Special,FLV-009|FLV-013|FLV-015|FLV-016,"""초콜릿 무스, 자모카, 피스타치오, 프랄린 크림! 다 전용 용기에 쌓아주세요.""",역시 많이 담아야 제맛! 감사합니다.,이걸로는 간에 기별도 안 가요...
CUST-009,세영,3,3,Special,FLV-005|FLV-018|FLV-010,"""뉴욕 치즈케이크, 바닐라, 쿠키앤크림. 아래부터 이 순서 그대로 정확히요.""",순서까지 완벽하네요. 인정합니다.,순서가 틀렸잖아요. 아래부터 다시요.
CUST-010,회장님,4,6,Special,FLV-003|FLV-006|FLV-008|FLV-011|FLV-017|FLV-020,"""오늘은 특별하게 록코로. 슈팅스타부터 요거트까지 전부 올리게. 실수는 용납 안 하네.""","훌륭하군. 자네 실력, 인정하지.",이런 걸 내오다니. 실망이야.
